order_value,distance,weight,warehouse,carrier,cost_to_serve
8270,1042,8,Bangalore,Delhivery,644.5
1860,1107,26,Mumbai,Delhivery,745.75
6390,963,19,Delhi,Ekart,690.75
6191,501,13,Delhi,Delhivery,377.25
6734,922,12,Bangalore,Delhivery,609.5
7265,1286,5,Bangalore,Delhivery,489.5
1466,1263,6,Delhi,Delhivery,640.75
5426,1552,26,Bangalore,Ekart,863.0
6578,1207,22,Bangalore,Delhivery,877.75
9322,1686,4,Bangalore,Delhivery,607.5
2685,1201,19,Mumbai,Ekart,855.25
1769,179,20,Mumbai,BlueDart,424.75
7949,1426,1,Bangalore,Ekart,467.5
3433,955,20,Bangalore,BlueDart,836.75
6311,804,17,Mumbai,Ekart,560.0
6051,643,12,Mumbai,Ekart,597.75
7420,1227,15,Delhi,Delhivery,686.75
2184,1550,1,Delhi,BlueDart,641.5
5555,38,26,Mumbai,Delhivery,606.5
4385,1198,14,Bangalore,BlueDart,679.5
7396,1455,6,Bangalore,Ekart,557.75
9666,348,5,Bangalore,Ekart,355.0
3558,1681,11,Bangalore,BlueDart,646.25
8849,1529,4,Delhi,Delhivery,636.25
3047,1398,13,Mumbai,Delhivery,737.5
3747,1866,11,Bangalore,Delhivery,820.5
1189,1375,3,Delhi,Delhivery,573.75
3734,509,1,Bangalore,Ekart,403.25
4005,1690,6,Mumbai,Ekart,564.5
5658,520,18,Delhi,Ekart,593.0
2899,1360,24,Mumbai,Ekart,779.0
8734,226,10,Mumbai,Ekart,492.5
2267,1334,5,Delhi,Delhivery,480.5
2528,1165,23,Delhi,Delhivery,777.25
4556,1837,10,Delhi,Delhivery,773.25
4890,1103,12,Delhi,Delhivery,608.75
9838,1285,2,Delhi,Ekart,518.25
6393,1448,13,Delhi,Ekart,611.0
9792,1820,8,Delhi,Ekart,836.0
9433,454,2,Bangalore,BlueDart,296.5
8513,885,20,Mumbai,Delhivery,818.25
3612,1215,1,Delhi,Delhivery,475.75
8041,176,5,Bangalore,Ekart,233.0
7235,100,9,Bangalore,Delhivery,330.0
6486,723,17,Bangalore,Delhivery,514.75
8099,1891,9,Mumbai,Ekart,805.75
1775,1564,11,Delhi,BlueDart,689.0
9226,48,15,Bangalore,BlueDart,484.0
4152,1159,24,Mumbai,BlueDart,848.75
2585,1484,6,Mumbai,Ekart,720.0
4943,182,23,Mumbai,Delhivery,639.5
8555,662,3,Bangalore,Ekart,490.5
4073,763,17,Delhi,Ekart,526.75
2021,1253,5,Bangalore,Delhivery,598.25
4843,1671,28,Bangalore,BlueDart,1131.75
8989,1091,12,Delhi,BlueDart,517.75
7873,1693,18,Delhi,Ekart,946.25
6675,485,14,Delhi,BlueDart,418.25
1161,465,21,Mumbai,Ekart,724.25
5297,838,24,Delhi,Ekart,844.5
1995,904,11,Bangalore,Delhivery,582.0
8629,1394,9,Delhi,Delhivery,568.5
2016,1968,2,Bangalore,Delhivery,796.0
8869,1034,12,Mumbai,Ekart,638.5
7439,396,3,Bangalore,Delhivery,307.0
8892,357,3,Bangalore,BlueDart,420.25
7863,199,1,Delhi,BlueDart,179.75
8916,514,8,Delhi,Ekart,402.5
9529,1224,22,Bangalore,Ekart,770.0
1878,1541,28,Delhi,Delhivery,856.25
5887,1402,29,Mumbai,Ekart,1053.5
5859,1442,8,Mumbai,Ekart,778.5
7331,833,11,Delhi,BlueDart,623.25
9571,938,9,Mumbai,BlueDart,611.5
9684,943,5,Delhi,Delhivery,434.75
8208,1150,14,Bangalore,Ekart,613.5
6276,143,28,Bangalore,Ekart,684.75
3062,67,3,Mumbai,BlueDart,300.75
1064,1589,21,Delhi,Ekart,912.25
9006,694,5,Delhi,BlueDart,451.5
3568,681,5,Mumbai,Delhivery,490.25
6463,182,19,Bangalore,BlueDart,589.5
3027,1862,27,Mumbai,Ekart,974.5
3695,824,14,Bangalore,Delhivery,471.0
6258,1182,26,Delhi,BlueDart,897.5
6618,89,4,Bangalore,BlueDart,281.25
7736,895,25,Mumbai,Delhivery,818.75
1391,1246,13,Delhi,Delhivery,698.5
6892,212,10,Mumbai,BlueDart,338.0
4561,773,25,Mumbai,Ekart,677.25
7184,1262,18,Bangalore,BlueDart,735.5
4099,1709,8,Mumbai,Delhivery,840.25
7278,1260,8,Bangalore,BlueDart,718.0
9392,1692,7,Delhi,Delhivery,589.0
4104,1565,8,Bangalore,Delhivery,799.25
8215,1474,14,Delhi,Ekart,676.5
3454,1435,19,Bangalore,Delhivery,734.75
9996,56,29,Mumbai,Delhivery,664.0
3731,1266,6,Bangalore,Ekart,537.5
9154,1338,1,Bangalore,Delhivery,571.5
6056,1559,23,Delhi,Ekart,818.75
9110,1176,15,Mumbai,Ekart,726.0
4840,1448,1,Bangalore,Delhivery,642.0
2028,1546,25,Mumbai,Delhivery,1044.5
8385,1406,17,Bangalore,BlueDart,813.5
1502,1599,1,Bangalore,Ekart,669.75
7910,1919,15,Mumbai,BlueDart,887.75
7938,1292,23,Bangalore,Delhivery,784.0
5488,665,2,Mumbai,BlueDart,325.25
1206,480,14,Bangalore,Ekart,386.0
6134,1986,21,Delhi,BlueDart,1040.5
6977,980,8,Mumbai,Ekart,428.0
8721,1045,8,Bangalore,Delhivery,503.25
8035,1363,19,Bangalore,Delhivery,817.75
2484,745,7,Delhi,Ekart,489.25
8858,793,19,Mumbai,Delhivery,695.25
1863,977,6,Bangalore,Delhivery,449.25
3790,367,6,Delhi,Delhivery,321.75
8408,981,3,Bangalore,Delhivery,469.25
9755,1441,7,Mumbai,Ekart,677.25
6116,677,19,Bangalore,BlueDart,713.25
7019,382,8,Bangalore,BlueDart,470.5
2757,1041,10,Bangalore,Delhivery,479.25
8574,1155,20,Bangalore,BlueDart,847.75
7374,1381,15,Delhi,BlueDart,629.25
7892,685,15,Delhi,Delhivery,470.25
2678,99,29,Mumbai,Delhivery,702.75
4242,1681,1,Delhi,BlueDart,509.25
5636,707,20,Delhi,Ekart,579.75
2059,1349,7,Mumbai,Delhivery,524.25
7668,1211,27,Delhi,Ekart,920.75
4157,549,4,Delhi,BlueDart,341.25
6915,741,29,Mumbai,Delhivery,683.25
3693,878,6,Mumbai,Ekart,423.5
4627,50,25,Mumbai,Delhivery,546.5
6450,749,1,Bangalore,BlueDart,331.25
2663,1737,29,Bangalore,Ekart,972.25
6592,1956,5,Mumbai,BlueDart,851.0
8392,511,27,Mumbai,BlueDart,706.75
2306,968,23,Mumbai,Delhivery,816.0
7776,1178,1,Bangalore,Ekart,489.5
6864,1234,4,Bangalore,BlueDart,644.5
8526,938,22,Delhi,BlueDart,782.5
9901,1757,2,Delhi,Ekart,652.25
6575,470,10,Mumbai,BlueDart,341.5
6530,741,5,Bangalore,BlueDart,450.25
5413,761,27,Bangalore,Ekart,761.25
4748,934,10,Bangalore,Ekart,658.5
1663,918,1,Mumbai,Ekart,429.5
2998,1591,22,Delhi,Ekart,925.75
8994,1580,6,Mumbai,Delhivery,760.0
2495,1286,13,Delhi,Ekart,761.5
4304,399,15,Delhi,Delhivery,398.75
4763,1627,4,Mumbai,Delhivery,594.75
6232,892,13,Delhi,Delhivery,535.0
2853,265,24,Delhi,BlueDart,648.25
7585,718,20,Bangalore,Delhivery,716.5
2291,1848,24,Delhi,Delhivery,883.0
4581,1954,15,Mumbai,BlueDart,794.5
8554,459,29,Mumbai,BlueDart,726.75
8280,19,8,Delhi,BlueDart,269.75
2636,833,5,Bangalore,Ekart,424.25
4696,807,29,Bangalore,BlueDart,826.75
1698,1275,15,Delhi,BlueDart,623.75
5737,1284,4,Delhi,Delhivery,508.0
1854,886,12,Mumbai,BlueDart,470.5
9164,1038,13,Delhi,Ekart,649.5
6855,1152,2,Bangalore,BlueDart,588.0
8392,1025,27,Delhi,Ekart,770.25
7528,1834,19,Mumbai,BlueDart,983.5
6249,383,19,Mumbai,BlueDart,563.75
6172,1098,4,Mumbai,BlueDart,543.5
2707,155,4,Mumbai,BlueDart,240.75
6791,233,26,Mumbai,Ekart,540.25
6535,1272,11,Delhi,Ekart,662.0
5931,186,27,Delhi,Delhivery,560.5
4510,1812,5,Delhi,Ekart,728.0
1202,862,20,Delhi,BlueDart,775.5
5218,1315,11,Mumbai,Delhivery,573.75
9958,72,10,Bangalore,Delhivery,460.0
5389,1250,8,Delhi,Delhivery,486.5
3327,1887,6,Bangalore,BlueDart,821.75
9004,836,6,Delhi,Ekart,510.0
3931,804,8,Delhi,BlueDart,380.0
